component	patch	stable_patch_id	source_commit
gcc	0001-riscv-regenerate-t-elf-multilib-from-the-WCH-GCC_MUL.patch	2eeed4290e44ec418b898c533182522dacc7a467	1abae7a3652537cedc37d45348429018e360617c
host	0002-host-move-C-standard-header-includes-before-safe-cty.patch	4086c2cae0d3dd26297a80d204efde530b530181	cf81f1a84f7cc2de7860b56c1d7ea7d32fba07f0
gcc	0003-riscv-accept-the-WCH-QingKe-xw-march-spelling.patch	7f03544f9db27f5d3148e558ad12137c92ff110a	9a4312bf71f64a8cdcd371b2c846663fcbbef74f
gcc	0004-riscv-accept-the-WCH-QingKe-WCH-Interrupt-fast-inter.patch	4ced28afaacd89a1547eeed034c321eeee047055	1d504099db064bd575bff8b4d5140c8c6f3d3bdb
gcc	0005-c-family-add-the-WCH-highcode-gen-section-name-param.patch	e5d66a082d18b432eba9981dfb10da90f477dc04	02be7a6dd317eebe55c172d72ce6ad5c9da6dc1e
binutils	0001-RISC-V-add-the-WCH-XW-compressed-byte-and-halfword-a.patch	49e28a5907f169cb1c613678572c647a0fa2807d	669cab9c81a38b6b8e5055c252264cec4a41e232
binutils	0002-RISC-V-decode-the-WCH-XW-compressed-accesses-under-o.patch	5228dfb0e554a732871c1c1c65f681f163bc744f	8a0da1b4237cbcfd46a64c9b8127b8745193bbb0
