schema_version	archive_sha256	representative_path	member	section	offset	halfword_hex	form	objdump_mnemonic	rendering
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	44	0xb288	c.sb	.insn	.insn 2, 0xb288
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	46	0x3348	c.lbu	.insn	.insn 2, 0x3348
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	48	0xb2a8	c.sb	.insn	.insn 2, 0xb2a8
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	50	0x2368	c.lbu	.insn	.insn 2, 0x2368
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	52	0xa2c8	c.sb	.insn	.insn 2, 0xa2c8
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	54	0x2328	c.lbu	.insn	.insn 2, 0x2328
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_BaseInit	74	0x2314	c.lbu	.insn	.insn 2, 0x2314
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	12	0x2110	c.lbu	.insn	.insn 2, 0x2110
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	20	0x250e	c.lhu	.insn	.insn 2, 0x250e
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	96	0xa298	c.sb	.insn	.insn 2, 0xa298
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	162	0x213a	c.lhu	.insn	.insn 2, 0x213a
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	172	0xa2ba	c.sh	.insn	.insn 2, 0xa2ba
2	08ab584e9252c2bea7332710f18b7d208a4af32be056b9a9ab04133c5549da68	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TKEY/TKYLIB/libCH32V205_TOUCH_CS.a	WCH_touch_lite.o	.text.TKY_CHInit	174	0x215a	c.lhu	.insn	.insn 2, 0x215a
