component	patch	stable_patch_id	source_commit
gcc	0001-RISC-V-accept-XW-march-strings-blocked-in-all-EVT-pr.patch	12954faa4ced681670e143c164f86df623ebe832	f893b93cbfb0a1c991a1f5774d7fb875f3fc66fe
gcc	0002-RISC-V-match-WCH-unknown-X-diagnostic-bytes.patch	1777d8e4370696a69f56b92c3ca7bf2af2fdaa32	ea847158b492806c92b404a5ecfe80f922da15d0
gcc	0003-RISC-V-match-WCH-fast-interrupt-EVT-frames.patch	08a42f11d52ab8a0bcd7f56ff655aa7011598211	eea98c9699f1f7bf7e43af0d211f244f432d0f09
gcc	0004-c-family-match-WCH-.highcode-section-semantics.patch	d3a533146c2207ce4359adc67a3eb78a233b011e	e9802a1b7cc63f4ca6c69746ba39e2edc84cef73
gcc	0005-c-match-WCH-implicit-function-diagnostics.patch	1a116c31e76c7e8ef1e1375f60c93ab181cd6d0c	cd02977688369e2549813cf8bd6cecd1bcd40988
gcc	0006-RISC-V-use-mret-for-WCH-fast-simple-returns.patch	efff52ef2da0904c60c367fe10c7b1fcc7ddb325	ab1101dd82237f419c74db4700cc8a018b9bed25
gcc	0007-RISC-V-match-WCH-fast-interrupt-vector-saves.patch	d3cae997f78c12776d3f4618aaa500850862dad5	489056185e13eb28897a81f3f8d9cec3528b6e6b
gcc	0008-RISC-V-keep-WCH-fast-interrupt-rename-targets-live.patch	ad9e17c4c653d65681accbf5d9d5d30d27bc9ea8	2fca8c0984065ce67001ab715053ae9e8e6cb16c
gcc	0009-RISC-V-match-WCH-LTO-option-streaming.patch	f35570d3ceb41b8ea11c0446120f82bd1b5972fd	d14602eb4df12e4660c69d88f389cce509bf7f56
binutils	0001-RISC-V-accept-bare-XW-arch-attributes-in-EVT-assembl.patch	6e6f52d42c95aec4cbd63a7fe33c7636b126a1f0	17c63fe0621b03a4df5f0b9b5d8cc62367d9d0b9
binutils	0002-RISC-V-emit-WCH-XW-compressed-EVT-load-store-bytes.patch	365d4d20b4b1ba1750a920885abc0436bac4f9a9	5f1c3f5f2b133c6ac904a013383c5996bd64a995
binutils	0003-RISC-V-assemble-custom-opcodes-blocking-v3c-EVT.patch	9deb1d9431daf76a09e75ea192f48596b3b767c7	351a506048bd649211e5c0f51743e4628cd7792b
binutils	0004-RISC-V-make-the-attribute-section-write-out-opt-in.patch	284978628685fdc70acbd6f25c704e61fda8d2d5	84e34beb7bd84a20cd9c15782da2dccc6f2f5e99
binutils	0005-RISC-V-match-WCH-XW-gate-diagnostic-bytes.patch	0bb1536d1683b90e6e6cae2c5f25a08191cac064	d779b3a497e3b79b9e1e7aac9b438d8ccce170c0
binutils	0006-RISC-V-mark-objects-built-against-the-WCH-software-l.patch	7155b5919b2aeec4fde4f8e5a837373d0a881f26	c93a2581d03552138a8f6d2dbf13abe3e03d41bc
binutils	0007-RISC-V-disassemble-the-WCH-XW-compressed-encodings-o.patch	fdb4ebe4e66f108867d26357d3132571c8412163	eb8e4dc9011fe80e2226faa6f396c71743689ae3
