schema_version	evidence_id	path	role	size_bytes	sha256	producer_command_id	required_by
2	ev-f21a7a2c7fe1a8be2a00ce9b956d4133a0bd76de03353c9f11be5fee48f8f5d4	controls/documents/document-control-summary.json	document-control	1314	d8fb941ea92c879886a76ae6254432c3f740c42f502369056acb0b6c88beca50	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-e5535eec413970b2ddf261b572c8fc2b8f40384b166f2a1c2fd3e37e9770259f	controls/documents/document-manifest.tsv	document-control	65904	51284bd7720a7f6107d73845e2f6e98bdf9b90944aa91d473be6640e2198fb1f	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-160da1bc6e8faae09ca71f4bdff419248e7723bc4ef5ad1ad75d05eb86a340c4	controls/documents/document-query-hits.tsv	document-control	827650	c01d125a6680358e4c8f34cf2e48f4562df08b8aa5c20de1dca4a8c1fb28d78d	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-9f29140a8bf8e81a29f387ebe88692fee4fe268f14aac28dbf41d46e2286e861	controls/documents/document-query-summary.json	document-control	3272	09dc00525be01a48fc6b37314e2e785012983a0431dd13c3255f47f1b66e52ad	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-eedcf1613392743f66b4153d1e2530290b2cfe8543907ad837994a71d9ff2f96	controls/documents/h417-lot-page-excerpts.tsv	document-control	4102	7e7385d4d420c7d0965dcfbb0991e44169fea960984bbe1ce7f6b323e93d821b	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-f2f76feb0d274fdc2bca8c60b61b51d135bc1177d4b051c552377ef575842b9b	controls/documents/rm-register-visibility.tsv	document-control	2371	1423b0a7ff50853a4476bad55338b993f371e78dd6586412feb578de64d675a1	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-13c712a4b2972b61fd9635ca5d161d7888c3b85e23cee70aa0273503af46df3c	controls/documents/schematic-text-sanity.tsv	document-control	4024	0a1a2003f604864af5942d9c7a82e1d9b1e5de15bc5cbcb433d80009ef336d95	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-55cf0b236240f211cb99fe1ec00f4b3f2d620c8b07f262dc5e73e76563daf67d	controls/documents/visual-page-review.tsv	document-control	3592	43eb97a99ffb59322860ec0afc7a06263deb098dcbaa59a45313b829caa2a6e1	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-bf3521d50c4ba76530e049a31a5b227f0861133ec0c11f07da7adb9260f55332	controls/documents/visual-pages/h417-p1-001.png	document-control	406610	0fb835f98c3ab702bd2499c88633da828200ba7ff8cef070012e66e4d56133a6	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-dea100588b20532420e7a6f946f59488f259e32bb79fef6434dfbf862b41b266	controls/documents/visual-pages/h417-p44-044.png	document-control	322696	f0b7ba3433ee0446c018a94a7f63bdf96f8d0692d59d3d779df8887682fbf9ca	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-66cfb5a760c7edaf9e03f1c10a30aecad971ec684c4cf32b4c541d02c13369ea	controls/documents/visual-pages/h417-pmp-066.png	document-control	278709	589492ea8e7bf32ba3cf5e120ba040e06ecaa2bf0eeadf1b8f0396c76644a818	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-22d4f45b9743ac3af04313fed424c8f5a2dcd2a8588b445779762623955dc527	controls/documents/visual-pages/h417-trigger-053.png	document-control	336633	c8f7b4e6993aaf7f7f5bce3017d2059342d50bd7f42c8ccc6eff907eedfdb022	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-775d9d12c38c8f687ad14f5cebe2772e7bd476a44ac439997b8c8ac4ff24b87f	controls/documents/visual-pages/h417-trigger-054.png	document-control	398869	eb0306aecf39f0f5287a36645e091558d00f48df256596bd6545011a3b71b905	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-d22b3cf4bb2049cf610abbfa6275dd54a87bdc9c986a85b9a660ebff242700e1	controls/documents/visual-pages/qkv3-54.png	document-control	143495	605fd32251e5cbac95718b2a0805cb6b9d5ce935ca7df4ce720a063734eb19c2	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-a4a26e9ff8e397ab1534f4464852728818e37d3c6a96528c0d0296589a3b532c	controls/documents/visual-pages/qkv3-55.png	document-control	340909	a6930b32be12ed7d5e8ccd6553045346b23f35f9f31a0ecbd0d9d7f54fa9b5dc	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-b75389864e811648ea5290f53ee267f1bc6282e1c1ea78c404f856bd7b4aa28b	controls/documents/visual-pages/qkv3-56.png	document-control	62414	93999fd637f70ba45b177823016d6c11946dbeb95e8d0cc96e1c30bf43ab0a0e	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
