schema_version	path	sha256	page	control	excerpt	status
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	1	front-matter lot-conditioned capability scope	[1]  青稞 V3F   IMABCF-X   2      2    4    3     地址或指令 支持   -    标准         单/双线  青稞 V5F   IMABCF-X   8      8    4    7-9   地址或指令 支持   支持   标准         单/双线 注[1]：仅批号第五位不为 0 的芯片支持内存保护。    有关 RISC-V 内核的相关信息，可参考第 4 章中央处理器（CPU）。 寄存器中位属性缩写描述：           寄存器位属性                            属性描述              RF          只读属性，读出固定值。              RO          只读属性，由硬件改变。              RZ          只读属性，读操作后自动位清 0              WO          只写属性（不可读，读值不确定）              WA          只写属性，安全模式下可写入。	pass-text
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	44	lot-number field wording	not-found	pass-visual-only
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	53	core-0 trigger condition	硬件堆栈保护使能：         0      hw_stk_en       RW    1：进出中断时使用硬件堆栈保护；              0                                      0：进出中断时不使用硬件堆栈保护。 4.2.1.22 触发器通道选择寄存器（TSELECT）     CSR 地址：0x7A0         位                名称    访问             描述                复位值    [31:2]      Reserved        MRO   保留。                           0        [1:0]   mscratch[1:0]   MRW   触发器通道选择寄存器。                   x 注：（1）内核 1 均实现四通道触发器，通过 TSELECT 寄存器选择触发器通道进行配置，TSELECT 触发 器低 2 位有效，其余位恒为 0。 （2）内核 0 的 TSELECT 寄存	pass-text
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	54	core-1 four-trigger statement	1：触发器比较读数据地址；                0                                                0：触发器不比较读数据地址 注：（1）处理器触发配置符合 RISC-V 调试标准，触发器配置类型为 2，根据访问的虚拟地址的最低 位进行匹配，在匹配的指令或读写数据前执行触发操作。 （2）内核 0 的 TDATA1 寄存器仅适用于批号第五位不为 0 的芯片。 4.2.1.24 保存触发数据寄存器（TDATA2）     CSR 地址：0x7A2         位                  名称            访问              描述              复位值                                                用于保存触发数据（指令 PC 或数据地    [31:0]        tdata2[31:0]            MRW                                x	pass-text
2	tmp/wch-evt/application_notes/CH32H417RM.PDF	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967	66	memory protection/core-0 PMP condition	MRO   01：16byte；                         0             [1:0]                                           10：32byte；                                           11：64byte。 4.3 物理内存保护单元（PMP）   为了提高系统安全，RISC-V 的架构中定义了一套物理地址访问限制，可以为区域内物理内存设置 其读、写、执行属性，区域长度最小 4 字节保护。PMP 单元在用户模式下一直生效，在机器模式下可 选生效，如果违背了当前内存限制，将会产生系统异常中断（EXC）。   内核 1（RISC-V5F）的 PMP 单元包含 4 组 8 位的配置寄存器（CSR 地址为 0x3A0）和 4 组地址寄存 器（CSR 地址为 0x3B0～0x3B3），需要使用 csr 指令进行访问，并且在机器模式下进行。   内核 0（RISC-V3F）的 PMP 单元包含 4 组 8 位的配置寄存器（CSR 地址为 0x3A0）和 4 组地址寄存	pass-text
