schema_version	path	sha256	size	title	version	date	language	pages	chip_or_core	provenance	relevance	extraction_method	extraction_status	text_sha256	byte_representative	pdfinfo_status
2	tmp/wch-evt/evt/QingkeV3A_CH32V103_EVT/PUB/CH32V103SCH.pdf	9e63334179d882220f48d51f9ea76d121c1c9cad9c1e5e406aa6263ffbec985d	625989	New Output	not-extracted	Sat Jul  1 09:00:00 2023 JST	mixed-or-chinese	4	CH32V103SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	053786700ef038caa398382917b265bcc6047470a01d64f2d961db0092ff5b2c	tmp/wch-evt/evt/QingkeV3A_CH32V103_EVT/PUB/CH32V103SCH.pdf	pass
2	tmp/wch-evt/evt/QingkeV3A_CH32V103_EVT/PUB/CH32V103∆¿π¿∞ÂÀµ√˜ È.pdf	7de7955ca3468ef10fffc2fda83002e1840b7b68e7ec7d64b88e36483b14b39d	4508868	CH32V103	V1.6	Tue Jun 18 12:45:58 2024 JST	mixed-or-chinese	11	CH32F103;CH32V103;CH32V103C8T6;CH32V103EVT;CH32V103R8T6;CH32V103SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	35d59f514b090abafb10963af05173d289b9b20eb3ad9d91d2298d035da7bb48	tmp/wch-evt/evt/QingkeV3A_CH32V103_EVT/PUB/CH32V103∆¿π¿∞ÂÀµ√˜ È.pdf	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/EXAM/IAP/USB_UART/CH32V205_IAP π”√Àµ√˜.pdf	63f10c5a8d1c0ac2d213b858c4f4aa182fbb5f364e1c1744f9f3e7d7f5c9f39b	305914	CH32V205_IAP	V1.50	Wed Jul  9 17:07:51 2025 JST	mixed-or-chinese	3	CH32V205	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	a33402653ae44ccd45509d56efb318d3f1cc092ff197e7d6cee7e2cfe123acfc	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/IAP/USB_UART/CH32V205_IAP π”√Àµ√˜.pdf	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/EXAM/PIOC/Tool_Manual/Manual/CHRISC8B.PDF	38231bec89ea50abb7273c76f8d84adfdd0557829628ece8be8bf752e78281f5	184327	CHRISC8B.DOC	2B	not-extracted	mixed-or-chinese	10	CH537X	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	08b79dc39db0f57d82f836a2e71c3fb973c6496d7c13231fee093e7232aa9c9a	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/PIOC/Tool_Manual/Manual/CHRISC8B.PDF	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/EXAM/PIOC/Tool_Manual/Manual/PIOC.PDF	61e543eb2dcdf538deaabf40afccae53fbd8166bb2b64890112bd885da0ede43	143828	PIOC.DOC	1	not-extracted	mixed-or-chinese	9	not-specific	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	57d09e9736be7e3a25f70cc2a7246f7764e18b309fef102d70137d1e2bfe3e73	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/PIOC/Tool_Manual/Manual/PIOC.PDF	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/EXAM/PIOC/Tool_Manual/Manual/PIOC π”√Àµ√˜.pdf	a1b0149616442cfadc84bb6d957459e45099dfc23b618f3bc9c3413b846b8c7b	661368	PIOC	V1.0	Tue Sep 16 15:26:38 2025 JST	mixed-or-chinese	2	CH32V205	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	5dc7422cf40604bb76a92153be29e61042f4d8d1bacec87d1ef5fe9202029953	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/PIOC/Tool_Manual/Manual/PIOC π”√Àµ√˜.pdf	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/PUB/CH32V205 Evaluation Board Reference-EN.pdf	30f9c20ea56a20512de3418423010382ff618a2f1a8e34124133c9a316cdb22b	2674515	CH32V205 Evaluation Board Reference-EN	V1.1	Mon Dec 15 16:46:50 2025 JST	latin-script-or-empty	9	CH32V205;CH32V205RCT;CH32V205SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	379b84ce70a2fbf96952165ef2d6dbdcee5cc3785991e1f6960779ea67630f2e	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/PUB/CH32V205 Evaluation Board Reference-EN.pdf	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/PUB/CH32V205SCH.pdf	17689742601852f06338278cddd72d0d2e992fded3e53fd1c4f18bbda2ca6ed2	658181	New Output	not-extracted	Fri Dec 19 09:00:00 2025 JST	latin-script-or-empty	4	CH32V205SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	fe899723825388806ef75452ea7b3925592eabc47806805c3808c3e026a866e9	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/PUB/CH32V205SCH.pdf	pass
2	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/PUB/CH32V205∆¿π¿∞ÂÀµ√˜ È.pdf	6a00add95cdeae610ddb42db7e1a87636e015dd50a4fe503ffb72ce33da39225	2395290	CH32V205	V1.1	Mon Dec 15 16:47:22 2025 JST	mixed-or-chinese	7	CH32V205;CH32V205RCT;CH32V205SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	6f6a76f419ec6c6ca97dd9f1d970d01b59fb23e4f33625b917b86d3eb5f746af	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/PUB/CH32V205∆¿π¿∞ÂÀµ√˜ È.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/MESH/«ﬂ∫„MESH APPπ‹¿Ì≈‰Õ¯”¶”√ ÷≤·.pdf	a9beeac42aea281f9741efc352ee80b857da9aeccbd60f233c152fab50ebb906	722748	沁恒MESH APP管理配网应用手册	V1.1	Tue Jul 21 17:28:41 2026 JST	mixed-or-chinese	19	not-specific	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	50ffe877fb1b93488d2e007f0c183ffc9b45493559791957bf1384ba63079942	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/MESH/«ﬂ∫„MESH APPπ‹¿Ì≈‰Õ¯”¶”√ ÷≤·.pdf	pass
