schema_version	path	size_bytes	sha256
1	tmp/chipid-revision-06c/runs/20260804T100258Z-27480e4af493-00/build-v317-eth-mac-raw/MAC_RAW.elf	173396	a9d3d50aa2d3f07f52c63a34cfc0f1764d6fb897766c293b8ca65f5c00ced007
1	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	7345516	6bdc58b159a95c40e815eb9973df1f7e7309b08e8018bad1991a71c792cefb95
1	tmp/wch-evt/application_notes/CH32H417RM.PDF	8188806	b57ebb0c0ae2cd772d32cb9ddeb6a6315fcc3916bcd3576e5a83eaeb7dfa6967
1	tmp/wch-evt/application_notes/CH32L103RM.PDF	3331776	27a1b969cb2cb99d296ac562cac134ec63d52e4f0c75cf9d6bad7c696bc66fe3
1	tmp/wch-evt/application_notes/CH32V003RM.PDF	2155889	7a6bf439ecd68e0b87ffdd6765da2ef9b1796ce16084b7d1f25a658380c3bcfe
1	tmp/wch-evt/application_notes/CH32V205RM.PDF	4718058	b1ed9ef040455a1f9a32f1ab9f9be0e9d3391709bc0b6fa141b2f581593b6c59
1	tmp/wch-evt/application_notes/CH32V407RM.PDF	5214830	63625af9027af6abfff57a58f8d2afdb2b68ee7d31c323e407da6ea786573c56
1	tmp/wch-evt/application_notes/CH32X315RM.PDF	3113343	b6a752f9e9bdbb1d1fd9c8ba62f6e52633620c06c0d21fbc450925541a0c2785
1	tmp/wch-evt/application_notes/CH32xRM.PDF	4281279	b4ade26ba00e0f03ea8c13d89badf5491bcdebbfa10957c4839ecc60f34b3cad
1	tmp/wch-evt/evt/QingkeV2C_CH32V006_EVT/EXAM/TIM/SLTIM_DMA/User/main.c	8071	54721f24675cb5cf79a66247cbf736f5b6f4ce954f8f1364a0edfd1697f377b1
1	tmp/wch-evt/evt/QingkeV3B_CH32V205_EVT/EXAM/SRC/Peripheral/src/ch32v205_dbgmcu.c	3853	e69cef70e8fd6e916f81233a01bdf9bbab44dac66eea358c27a065f4bb72a479
1	tmp/wch-evt/evt/QingkeV3F_CH32X315_EVT/EXAM/SRC/Peripheral/src/ch32x3x5_gpio.c	19947	7170a4e17031b52c951b0cfb2cd34feb9fd65174ddacde40819e68be7f78bac4
1	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/eth_driver.c	24270	8f9ffd09d7fa16c4dac6aeaa16d0d3eb01cba23fa3565cd7c0c452588ca94a00
1	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/SRC/Peripheral/src/ch32v4x7_gpio.c	26788	fd5329a00ed149596c6e20f1bdd7beb3280bf381ea184cb483b1a409f26b45b7
1	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/SRC/Peripheral/src/ch32v20x_dbgmcu.c	3617	d01e387f44e96714fd08ec255b234f18da24569db89897c378118086f1bc52b6
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/eth_driver_10M.c	31128	943269dfaad6ddb712086536217c53491e2a98a7dbe1d9d61072bfc7aef13984
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/eth_driver_RGMII.c	24740	e80662c706d45daa0ee357df986fea0af010ade69cc06d75a8c8ff4cca182614
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/eth_driver_RMII.c	33947	75f3997a4a1dd457be9f3a6cad95ddd078c2726a969bea8dd4c8df6bb3c74a93
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/SRC/Peripheral/src/ch32v30x_can.c	39396	00e79d748e3a344df4976318df8a8b949153f523c6e26c065b5957e78a120a7c
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/SRC/Peripheral/src/ch32v30x_dbgmcu.c	3815	7a407df222c506db7205bda981117badc004e3b2c1aa88df0023f0bafc11172b
1	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/SRC/Peripheral/src/ch32v30x_tim.c	84538	82b4702c71b9430dd818abdc32f8e4b79b0cee6f63cb35fd7bf60de766052661
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ADC/DualADC_FastInterleaved/Common/hardware.c	3961	6b7c9b97da0b04e9e520458835bfbd5d3598cb44825fda0868b5e0e3ff6f8b59
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/PWR/Stop_Mode/Common/hardware.c	7932	768c51ed315e087a69d9c80134cfbe2a035fae870e845da4a376d450e291b86f
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/SDMMC/SDMMC_eMMC/Common/sdmmc_emmc.c	32362	c53f011547db2ceea279beb501f16751dd7c38501a6dba89d07e81fb9c430ed2
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/SRC/Peripheral/src/ch32h417_can.c	38915	22d41eac6b1f3cf267c097d40ecf9f0016a777ff2b25943a788d1a2e67029a3b
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/SRC/Peripheral/src/ch32h417_dbgmcu.c	5019	5959d67f48908077d722e2d997487b009e0de41ae72cbc23669ea67c5db77ffd
1	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/SRC/Peripheral/src/ch32h417_gpio.c	27241	6f2760b13e2da9ac5aacd02fab9f19a64ef76a83cf31f98486757c8b36ce751c
