file_id	package_denominator	path	implementation_group	component	scope	source_class	wch_type	wch_mode	wch_size	wch_sha256	p2_type	p2_mode	p2_size	p2_sha256	matched_status	ours_type	ours_mode	ours_size	ours_sha256	p2_comparison	ours_comparison	initial_classification	comparator_exists	evidence_ids
FILE-000011	WCH-PACKAGE	bin/riscv32-wch-elf-g++	GCC-DRIVER	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1899024	57193c6cbe0772e2c2b815538e46eea0ae9f8c3a3d1a9082ccd695d9c9e489e9	FILE	755	2192824	289153b0353586113fe81fb94fadd0ac5d0e1b587c2adbcab657056c5a1c87f7	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2197080;sha256=e48bb3a628ec33819e596065b1a7c029f18473c15f90c9b8b08a300d6565517c	FILE	755	2192824	b244b4084b0eb362c0989b2e7b792f117b56de336135014f3d5901dea99506b8	BYTE-DIFF	BYTE-DIFF	ANALYZED-WITH-UNRESOLVED-BINARY-REGIONS	true	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000012	WCH-PACKAGE	bin/riscv32-wch-elf-gcc	GCC-DRIVER	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1882496	339104dfa2792244e90a3f44bd1f1ff3435917a7668ab83f33241d5d9c2c2829	FILE	755	2192824	68cb089e582aeb83bfd007e6b884a82c6c450843c2b04d75ddc062ff8d2b6c0c	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2197080;sha256=8adc83c82785da5127126bfb25f9a4dbf9ece8231bec878bbc341e1e6749f680	FILE	755	2192824	bb5f0f7752157e4919483756084278d63fdce19fc58fee51f9b55b5ede50c22e	BYTE-DIFF	BYTE-DIFF	ANALYZED-WITH-UNRESOLVED-BINARY-REGIONS	true	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000013	WCH-PACKAGE	bin/riscv32-wch-elf-gcc-15.2.0	GCC-DRIVER	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1882496	aedb61df51d9178c170e234fd8e68d673e1f49b21cc2d317444d1999ce4bb10b	FILE	755	2192824	68cb089e582aeb83bfd007e6b884a82c6c450843c2b04d75ddc062ff8d2b6c0c	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2197080;sha256=8adc83c82785da5127126bfb25f9a4dbf9ece8231bec878bbc341e1e6749f680	FILE	755	2192824	bb5f0f7752157e4919483756084278d63fdce19fc58fee51f9b55b5ede50c22e	BYTE-DIFF	BYTE-DIFF	ANALYZED-WITH-UNRESOLVED-BINARY-REGIONS	true	T0-016,T0-017,T0-018,L1-final-matched-manifest,L1-final-matched-identity
FILE-000014	WCH-PACKAGE	bin/riscv32-wch-elf-gcc-ar	GCC-LTO-TOOL-WRAPPERS	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	89920	5a6261e0be599de68ba89a812f3b99c21724b648e605ba6cc94099744dc9a4cf	FILE	755	83256	bf41969b5dc530389190014e9f5487faa8a16f89c90c511d1c0b94c42cf935ae	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=83992;sha256=1150fbbd8ce989570463a4d5b3066a3ebde46ebf789111e38014120c012fe8c2	FILE	755	83256	9182ab7dec8773f41ec220751d102049131344a0217d77854346737887466d39	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000015	WCH-PACKAGE	bin/riscv32-wch-elf-gcc-nm	GCC-LTO-TOOL-WRAPPERS	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	89920	b25ac52a8375e0cf2dd90831715070add2076241be9bafe795a37af143e2df2b	FILE	755	83240	13a6e6030add7922ee72c15f18c544d90e7d7a6d860c5f22765f1ceb1f803c70	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=83976;sha256=3eaf346826157e7879ce61b3eaaddf08616c40ac9fc376cd3a6ed9f91f100516	FILE	755	83240	6bffd03a4e1c8058092f2be03802150cb89fb33b044ebd595a08d954ae4b1c22	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000016	WCH-PACKAGE	bin/riscv32-wch-elf-gcc-ranlib	GCC-LTO-TOOL-WRAPPERS	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	89936	b49f4ffdad17607cdeccfb0adb964485a8aee4189d2c603369d59b34d0a3b976	FILE	755	83240	4f113e7b3ab13d9b6defafc23e33c384c92f5d21dfc94ff7de5b75213f9a95fd	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=83976;sha256=3af61dde46897821f0798c314dade04d4015ab5e3c311b619f65811fd37c393c	FILE	755	83240	fa8e72861d2bb5b7a7efb7aeccbe5e30ff95562162712ce9feb9a14bbbb1d0a4	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000017	WCH-PACKAGE	bin/riscv32-wch-elf-gcov	GCC-GCOV	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1308608	96af33a2480f6a3a9cbda05ebe51d72735baf991bd0c13cd4501857ccac73cbf	FILE	755	1560200	fb7ea994188e301996f3c194f0094ad121496e7820a966c594b47371517216f8	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1564424;sha256=46d573eaf4507bd86e23af54544ed9c12264f81797c195e0ed399a049cdd3db4	FILE	755	1560200	150f529401d38c138548a04750898142c689f48183bf634f44561b1e9089115a	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000018	WCH-PACKAGE	bin/riscv32-wch-elf-gcov-dump	GCC-GCOV	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1035520	938a80b88705ff1a8cb277729aed8edeff90c36c9fce85954f5e145dfb286e28	FILE	755	1249112	e63e285eef58d629ef1c6d74f971d3ef4dfae2a4b2604167c3ebb01866c5050a	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1252456;sha256=98a4fd0cbf05ed1bdce2fb29f518a0b95d029279b2f73ba0124a3d50854a50c2	FILE	755	1249112	0cada0e149c62cc9ef7e5a9e4610b945cc10944f1556dd4a810d7a6ca3eaac8d	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000019	WCH-PACKAGE	bin/riscv32-wch-elf-gcov-tool	GCC-GCOV	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1069856	86cb5fae63016d68a505c2e35465c91e369b1a26f28022b336f6aebae8d079a6	FILE	755	1275176	9bfe984a9f41af9c195a7b56d919dea86a4d3ae3e1c96aa7f9bf66c3102001f8	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1278664;sha256=0ae890d0d629ce4a1834576ae6b1ef32be1e1b17f640c4b017038cec1846ea25	FILE	755	1275176	46c21df8a767f797bc6f97aadcb3e31f16cec55308ee1621ae45286d5cf3dcd0	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000020	WCH-PACKAGE	bin/riscv32-wch-elf-gdb	GDB-SIM	GDB-SIM	OUT-OF-SCOPE-FROZEN	GDB/SIM-OWNED	FILE	777	8473840	36c2af43ea908208aa8616aeb710b0f8b6819537e51f0402c05c0c0e74d137ef	MISSING	-	-	-	NOT-PRESENT-IN-MATCHED-TECHNICAL-CONTROL	MISSING	-	-	-	MISSING-IN-CONTROL	MISSING-IN-CONTROL	OUT-OF-SCOPE-FROZEN	false	T0-016,T0-017,T0-018
