schema_version	source_set	scope_class	path_or_reference	family	role	physical_present	target_chip	build_context	sha256	normalized_sha256	parent_package_sha256	file_format	member_occurrences	byte_group_id	byte_representative_path	scan_status	evidence_ids	evidence_manifest_sha256
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crti.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	4800c598448b4cd0f8497e1cf57b4be6e92ceda39fdacbf22b57ca989683e281	not-applicable	not-applicable	ELF	not-applicable	bytegroup-379e55e6dca0740b812c79108d80fe32bc4001c9974dc4cfbe34dc530000b6aa	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crtn.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	4800c598448b4cd0f8497e1cf57b4be6e92ceda39fdacbf22b57ca989683e281	not-applicable	not-applicable	ELF	not-applicable	bytegroup-379e55e6dca0740b812c79108d80fe32bc4001c9974dc4cfbe34dc530000b6aa	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/libgcc.a	generic-runtime-candidate	target-archive	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	25bf116abed48778397c5cc233cbe26e0a0896f8dc46af83aaf6e693bb70ecf1	not-applicable	not-applicable	ar	165	bytegroup-c905694bf33a57a05000a8cdc667d310d2a3be558ad974c9bb510e96ace510ed	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/libgcc.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/libgcov.a	other target artifact	target-archive	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	3d148e261dfac43bfd201c574dd97244d7ab4c7964904ea01fe4860665c0be7e	not-applicable	not-applicable	ar	28	bytegroup-c844c2c7f34b8fc6edc66476108d10e5291a0f9f3cb58ed764542736c127df29	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32e/ilp32e/libgcov.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crtbegin.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	708fb682a05e25f911c5af074da0e7e91d7010a572b83372ce2cfb633a338385	not-applicable	not-applicable	ELF	not-applicable	bytegroup-a5d5f616ce7c4c6645be7b734512c66c97a7937e60c460b4f860d4c0a5094ac6	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crtbegin.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crtend.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	c9d1859547924286d6cf56fcc07d33e5b9672211769275cd80ef22461b3dc4b2	not-applicable	not-applicable	ELF	not-applicable	bytegroup-cf5f3851052ceca39e2e0373aa62b36605dcf17778dd3aafef0f2d198f190256	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crtend.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crti.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	eb228855ddfb45ea38a1387ab847f839ccf46fbf774a79619f00d37f2aac2745	not-applicable	not-applicable	ELF	not-applicable	bytegroup-0086f4256826822e9df5c010c299aba4a5881df2da719770d759f25a9f7c586f	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crtn.o	other target artifact	standalone-object	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	eb228855ddfb45ea38a1387ab847f839ccf46fbf774a79619f00d37f2aac2745	not-applicable	not-applicable	ELF	not-applicable	bytegroup-0086f4256826822e9df5c010c299aba4a5881df2da719770d759f25a9f7c586f	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/crti.o	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/libgcc.a	generic-runtime-candidate	target-archive	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	ad440982f1df9dd21e0b27b5be6c91051502565829bf8303a6c54961e62a2f69	not-applicable	not-applicable	ar	165	bytegroup-cb221ba34c368191df0f114c45eb1195971dd2ea1c8bcfcaa4bfe970b69ada09	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/libgcc.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
2	mrs-2.5-linux-x64-gcc15	unknown-provenance	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/libgcov.a	other target artifact	target-archive	yes	unknown	buildctx-eb61b5f61d6a65dcea7c3ed6f64a19f05c9c4d3cedb3b1a427697ac31c8175af	7e875447149fffe7f14a7dc3b045d49881ad6616ef824dc18d98aed002136bd1	not-applicable	not-applicable	ar	28	bytegroup-76d88bb1bef7e0ccebf12557d0387050fc2d3eec683f7f55c5bcde0e7c37f61f	MRS_Toolchain_Linux_X64_V250/Toolchain/RISC-V Embedded GCC15/lib/gcc/riscv32-wch-elf/15.2.0/rv32ec/ilp32e/libgcov.a	partial	ev-9afbb8d8ea9da6aac95c63881208c45521ea7aa6a08255d9d4ea06d7ef493376;ev-c70b4bc27ca2baf2aecc73adca3d87efc221e0ef5c8c4f4119a86ebcdac21a04;ev-47e7899086c09aa024c61988014228c5e9152da1fa42e2f30f13609216726e02	5705ee8e29bf33d986b2ce880dfbd27b00076896d356a020c9f4d2002b12bc78
