# ruling(Main 2026-08-16): capability = 官方 8.2.0 包自身永久不可构建（指令缺失、属性合并拒绝、随包库缺失同属此类——库策略为逐字复用随包库，我方不造官方没有的库）；config = 工程/环境层可修。
# ruling-note(改判 2026-08-17, 审计 cb66c29): lib:missing 判 config；分区 capability=126/config=2。真机理：包内实有 6 份 libprintfloat.a（均在 multilib 子目录 rv32ec/ilp32e、rv32imac/ilp32、rv32imacxw/ilp32、rv32ecxw/ilp32e、rv32imafc/ilp32f、rv32imafcxw/ilp32f），CoreMark 的 -march=rv32imcxw 无对应 multilib、-print-multi-directory 回落默认目录 "."，默认库目录不含该库故 ld 找不到 -lprintfloat——属工程 march/库组合与包装 multilib 覆盖的配置层问题。原判据「树内无该库文件」被审计反证实验证伪，原行保留于历史（census-report §7(a) 预登记的移位口径按此兑现）。
# ruling-note(P2-21 裁定 2026-08-17, DECISIONS 4f5dedb, 用户裁定「缩减」): 排除粒度由工程级收紧为产物级——仅链接阶段失败的工程，其编译成功的 .o 全部进入收口 gate，只剔 .elf/.bin。本表 33 行（isa-attr:z-subset 31 + lib:missing 1 + link:region-overflow 1）的 keyword 列加 link-only: 前缀标注；class 列一字不动，capability=126 / config=2 分区继续由 class 列精确匹配推出。这 33 个工程的 .o 已入 gate，共 1684 只，行落 analysis/golden/8.2.0-darwin-arm64-full.tsv 的 P2-21 追加块（class=gate-link-only），扩展后 gate 总数 = 42285 + 1684 = 43969。证据 tmp/toolchain_8.2.0/evidence/s4/linkonly-extension/stage-a（run_id 20260816T235734.369403Z-72879；官方 r1/r2 双跑 33/33 逐字节一致；我方对拍 1684/1684 MATCH、DIFF=0、MISSING=0、EXTRA=0）。
# linkonly-objects(index:count, Σ=1684): 8:35, 9:31, 59:25, 60:25, 166:33, 251:31, 252:31, 253:31, 938:302, 1029:46, 1030:46, 1031:46, 1032:46, 1033:47, 1034:47, 1035:50, 1036:50, 1037:52, 1038:52, 1041:53, 1042:53, 1043:46, 1044:46, 1045:46, 1046:46, 1047:46, 1048:46, 1049:46, 1050:46, 1051:47, 1052:47, 1223:45, 1224:45
slug	class	keyword	first_error_excerpt	log_pointer
QingkeV3C_CH587_EVT/EXAM/BLE/OnlyUpdateApp_Peripheral/OnlyUpdateApp_Peripheral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0330-QingkeV3C_CH587_EVT_EXAM_BLE_OnlyUpdateApp_Peripheral_OnlyUpdateApp_Peripheral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Peripheral/Peripheral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0331-QingkeV3C_CH587_EVT_EXAM_BLE_Peripheral_Peripheral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/PeripheralSC/PeripheralSC.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0332-QingkeV3C_CH587_EVT_EXAM_BLE_PeripheralSC_PeripheralSC.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Peripheral_ancs_client/Peripheral_ancs_client.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0333-QingkeV3C_CH587_EVT_EXAM_BLE_Peripheral_ancs_client_Peripheral_ancs_client.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/RF_Basic/RF_Basic.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0334-QingkeV3C_CH587_EVT_EXAM_BLE_RF_Basic_RF_Basic.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/RF_PHY/RF_PHY.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0335-QingkeV3C_CH587_EVT_EXAM_BLE_RF_PHY_RF_PHY.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/RunningSensor/RunningSensor.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0336-QingkeV3C_CH587_EVT_EXAM_BLE_RunningSensor_RunningSensor.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/SYNC_ADV/SYNC_ADV.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0337-QingkeV3C_CH587_EVT_EXAM_BLE_SYNC_ADV_SYNC_ADV.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/SYNC_SCAN/SYNC_SCAN.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0338-QingkeV3C_CH587_EVT_EXAM_BLE_SYNC_SCAN_SYNC_SCAN.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/SpeedTest_Central/SpeedTest_Central.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0339-QingkeV3C_CH587_EVT_EXAM_BLE_SpeedTest_Central_SpeedTest_Central.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/SpeedTest_Peripheral/SpeedTest_Peripheral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0340-QingkeV3C_CH587_EVT_EXAM_BLE_SpeedTest_Peripheral_SpeedTest_Peripheral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/ECC/ECC.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0341-QingkeV3C_CH587_EVT_EXAM_ECC_ECC.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/ENCODER/ENCODER.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0342-QingkeV3C_CH587_EVT_EXAM_ENCODER_ENCODER.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/FLASH/FLASH.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0343-QingkeV3C_CH587_EVT_EXAM_FLASH_FLASH.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/FreeRTOS/FreeRTOS.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0344-QingkeV3C_CH587_EVT_EXAM_FreeRTOS_FreeRTOS.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/HarmonyOS/LiteOS_m.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0345-QingkeV3C_CH587_EVT_EXAM_HarmonyOS_LiteOS_m.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/I2C/I2C.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0346-QingkeV3C_CH587_EVT_EXAM_I2C_I2C.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/IAP/APP/APP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0347-QingkeV3C_CH587_EVT_EXAM_IAP_APP_APP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/IAP/UART_IAP/UART_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0348-QingkeV3C_CH587_EVT_EXAM_IAP_UART_IAP_UART_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/IAP/USBHS_IAP/USBHS_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0349-QingkeV3C_CH587_EVT_EXAM_IAP_USBHS_IAP_USBHS_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/IAP/USB_IAP/USB_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0350-QingkeV3C_CH587_EVT_EXAM_IAP_USB_IAP_USB_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/LCD/LCD.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0351-QingkeV3C_CH587_EVT_EXAM_LCD_LCD.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/LED/LED.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0352-QingkeV3C_CH587_EVT_EXAM_LED_LED.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/PM/PM.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0353-QingkeV3C_CH587_EVT_EXAM_PM_PM.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/PWMX/PWMX.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0354-QingkeV3C_CH587_EVT_EXAM_PWMX_PWMX.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/QSPI/QSPI_FLASH/QSPI_FLASH.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0355-QingkeV3C_CH587_EVT_EXAM_QSPI_QSPI_FLASH_QSPI_FLASH.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/QSPI/QSPI_FLASH_DMA/QSPI_FLASH_DMA.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0356-QingkeV3C_CH587_EVT_EXAM_QSPI_QSPI_FLASH_DMA_QSPI_FLASH_DMA.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/RT-Thread/rt-thread-nano.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0357-QingkeV3C_CH587_EVT_EXAM_RT-Thread_rt-thread-nano.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/SPI0/SPI0.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0358-QingkeV3C_CH587_EVT_EXAM_SPI0_SPI0.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TMR/TMR.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0359-QingkeV3C_CH587_EVT_EXAM_TMR_TMR.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TOUCH/Touch_EX001/Touch_EX001.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0360-QingkeV3C_CH587_EVT_EXAM_TOUCH_Touch_EX001_Touch_EX001.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TOUCH/Touch_EX001_ble/Touch_EX001_ble.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0361-QingkeV3C_CH587_EVT_EXAM_TOUCH_Touch_EX001_ble_Touch_EX001_ble.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TOUCH/Touch_EX002/Touch_EX002.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0362-QingkeV3C_CH587_EVT_EXAM_TOUCH_Touch_EX002_Touch_EX002.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TOUCH/Touch_EX002_ble/Touch_EX002_ble.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0363-QingkeV3C_CH587_EVT_EXAM_TOUCH_Touch_EX002_ble_Touch_EX002_ble.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/TOUCH/Touch_Example/Touch_Example.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0364-QingkeV3C_CH587_EVT_EXAM_TOUCH_Touch_Example_Touch_Example.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/UART1/UART1.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0365-QingkeV3C_CH587_EVT_EXAM_UART1_UART1.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Device/COM/COM.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0366-QingkeV3C_CH587_EVT_EXAM_USB_Device_COM_COM.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Device/CompoundDev/CompoundDev.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0367-QingkeV3C_CH587_EVT_EXAM_USB_Device_CompoundDev_CompoundDev.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Device/HID_CompliantDev/HID_CompliantDev.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0368-QingkeV3C_CH587_EVT_EXAM_USB_Device_HID_CompliantDev_HID_CompliantDev.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Device/VendorDefinedDev/VendorDefinedDev.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0369-QingkeV3C_CH587_EVT_EXAM_USB_Device_VendorDefinedDev_VendorDefinedDev.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/HostAOA/HostAOA.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0370-QingkeV3C_CH587_EVT_EXAM_USB_Host_HostAOA_HostAOA.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/HostEnum/HostEnum.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0371-QingkeV3C_CH587_EVT_EXAM_USB_Host_HostEnum_HostEnum.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/U_DISK/U_DISK_EXAM1/U_DISK_EXAM1.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0372-QingkeV3C_CH587_EVT_EXAM_USB_Host_U_DISK_U_DISK_EXAM1_U_DISK_EXAM1.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/U_DISK/U_DISK_EXAM10/U_DISK_EXAM10.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0373-QingkeV3C_CH587_EVT_EXAM_USB_Host_U_DISK_U_DISK_EXAM10_U_DISK_EXAM10.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/U_DISK/U_DISK_EXAM11/U_DISK_EXAM11.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0374-QingkeV3C_CH587_EVT_EXAM_USB_Host_U_DISK_U_DISK_EXAM11_U_DISK_EXAM11.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/Host/U_DISK/U_DISK_EXAM13/U_DISK_EXAM13.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0375-QingkeV3C_CH587_EVT_EXAM_USB_Host_U_DISK_U_DISK_EXAM13_U_DISK_EXAM13.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/CH372Device/CH372Device.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0376-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_CH372Device_CH372Device.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/CompatibilityHID/CompatibilityHID.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0377-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_CompatibilityHID_CompatibilityHID.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/CompositeKM/CompositeKM.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0378-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_CompositeKM_CompositeKM.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/MSC_CD-ROM/MSC_CD-ROM.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0379-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_MSC_CD-ROM_MSC_CD-ROM.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/MSC_U-Disk/MSC_U-Disk.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0380-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_MSC_U-Disk_MSC_U-Disk.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/SimulateCDC/SimulateCDC.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0381-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_SimulateCDC_SimulateCDC.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/DEVICE/SimulateCDC-HID/SimulateCDC-HID.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0382-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_DEVICE_SimulateCDC-HID_SimulateCDC-HID.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/HOST_IAP/HOST_APP/HOST_APP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0383-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_HOST_IAP_HOST_APP_HOST_APP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/HOST_IAP/HOST_IAP/HOST_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0384-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_HOST_IAP_HOST_IAP_HOST_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/HOST_KM/HOST_KM.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0385-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_HOST_KM_HOST_KM.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/HOST_MTP_FileSystem/HOST_MTP_FileSystem.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0386-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_HOST_MTP_FileSystem_HOST_MTP_FileSystem.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USB/USBHS/Host_UDisk_Exams/Host_UDisk_Exams.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0387-QingkeV3C_CH587_EVT_EXAM_USB_USBHS_Host_UDisk_Exams_Host_UDisk_Exams.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/USBPD/USBPD.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0388-QingkeV3C_CH587_EVT_EXAM_USBPD_USBPD.wvproj/logs
