# ruling(Main 2026-08-16): capability = 官方 8.2.0 包自身永久不可构建（指令缺失、属性合并拒绝、随包库缺失同属此类——库策略为逐字复用随包库，我方不造官方没有的库）；config = 工程/环境层可修。
# ruling-note(改判 2026-08-17, 审计 cb66c29): lib:missing 判 config；分区 capability=126/config=2。真机理：包内实有 6 份 libprintfloat.a（均在 multilib 子目录 rv32ec/ilp32e、rv32imac/ilp32、rv32imacxw/ilp32、rv32ecxw/ilp32e、rv32imafc/ilp32f、rv32imafcxw/ilp32f），CoreMark 的 -march=rv32imcxw 无对应 multilib、-print-multi-directory 回落默认目录 "."，默认库目录不含该库故 ld 找不到 -lprintfloat——属工程 march/库组合与包装 multilib 覆盖的配置层问题。原判据「树内无该库文件」被审计反证实验证伪，原行保留于历史（census-report §7(a) 预登记的移位口径按此兑现）。
# ruling-note(P2-21 裁定 2026-08-17, DECISIONS 4f5dedb, 用户裁定「缩减」): 排除粒度由工程级收紧为产物级——仅链接阶段失败的工程，其编译成功的 .o 全部进入收口 gate，只剔 .elf/.bin。本表 33 行（isa-attr:z-subset 31 + lib:missing 1 + link:region-overflow 1）的 keyword 列加 link-only: 前缀标注；class 列一字不动，capability=126 / config=2 分区继续由 class 列精确匹配推出。这 33 个工程的 .o 已入 gate，共 1684 只，行落 analysis/golden/8.2.0-darwin-arm64-full.tsv 的 P2-21 追加块（class=gate-link-only），扩展后 gate 总数 = 42285 + 1684 = 43969。证据 tmp/toolchain_8.2.0/evidence/s4/linkonly-extension/stage-a（run_id 20260816T235734.369403Z-72879；官方 r1/r2 双跑 33/33 逐字节一致；我方对拍 1684/1684 MATCH、DIFF=0、MISSING=0、EXTRA=0）。
# linkonly-objects(index:count, Σ=1684): 8:35, 9:31, 59:25, 60:25, 166:33, 251:31, 252:31, 253:31, 938:302, 1029:46, 1030:46, 1031:46, 1032:46, 1033:47, 1034:47, 1035:50, 1036:50, 1037:52, 1038:52, 1041:53, 1042:53, 1043:46, 1044:46, 1045:46, 1046:46, 1047:46, 1048:46, 1049:46, 1050:46, 1051:47, 1052:47, 1223:45, 1224:45
slug	class	keyword	first_error_excerpt	log_pointer
QingkeV3C_CH587_EVT/EXAM/BLE/BLE_UART/BLE_UART.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0296-QingkeV3C_CH587_EVT_EXAM_BLE_BLE_UART_BLE_UART.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/BLE_USB/BLE_USB.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0297-QingkeV3C_CH587_EVT_EXAM_BLE_BLE_USB_BLE_USB.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/BackupUpgrade_IAP/BackupUpgrade_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/SRC/RVMSIS/core_riscv.h:645: Error: unrecognized opcode `mcpy a2,a1,a5'	tmp/toolchain_8.2.0/full-census/projects/0298-QingkeV3C_CH587_EVT_EXAM_BLE_BackupUpgrade_IAP_BackupUpgrade_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/BackupUpgrade_JumpIAP/BackupUpgrade_JumpIAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0299-QingkeV3C_CH587_EVT_EXAM_BLE_BackupUpgrade_JumpIAP_BackupUpgrade_JumpIAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/BackupUpgrade_OTA/BackupUpgrade_OTA.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0300-QingkeV3C_CH587_EVT_EXAM_BLE_BackupUpgrade_OTA_BackupUpgrade_OTA.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Broadcaster/Broadcaster.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0301-QingkeV3C_CH587_EVT_EXAM_BLE_Broadcaster_Broadcaster.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/CentPeri/CentPeri.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0302-QingkeV3C_CH587_EVT_EXAM_BLE_CentPeri_CentPeri.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Central/Central.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0303-QingkeV3C_CH587_EVT_EXAM_BLE_Central_Central.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/CyclingSensor/CyclingSensor.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0304-QingkeV3C_CH587_EVT_EXAM_BLE_CyclingSensor_CyclingSensor.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Direct_Test_Mode/dtm.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0305-QingkeV3C_CH587_EVT_EXAM_BLE_Direct_Test_Mode_dtm.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/HID_Consumer/HID_Consumer.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0306-QingkeV3C_CH587_EVT_EXAM_BLE_HID_Consumer_HID_Consumer.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/HID_Keyboard/HID_Keyboard.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0307-QingkeV3C_CH587_EVT_EXAM_BLE_HID_Keyboard_HID_Keyboard.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/HID_Mouse/HID_Mouse.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0308-QingkeV3C_CH587_EVT_EXAM_BLE_HID_Mouse_HID_Mouse.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/HID_Touch/HID_Touch.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0309-QingkeV3C_CH587_EVT_EXAM_BLE_HID_Touch_HID_Touch.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/HeartRate/HeartRate.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0310-QingkeV3C_CH587_EVT_EXAM_BLE_HeartRate_HeartRate.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/IoCHub_NET/IoCHub_NET.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0311-QingkeV3C_CH587_EVT_EXAM_BLE_IoCHub_NET_IoCHub_NET.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/LWNS/LWNS.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0312-QingkeV3C_CH587_EVT_EXAM_BLE_LWNS_LWNS.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_ali_light/adv_ali_light.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0313-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_ali_light_adv_ali_light.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_ali_light_add_lightness/adv_ali_light_add_lightness.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0314-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_ali_light_add_lightness_adv_ali_light_add_lightness.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_ali_light_add_windspeed/adv_ali_light_add_windspeed.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0315-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_ali_light_add_windspeed_adv_ali_light_add_windspeed.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_ali_light_multi_element/adv_ali_light_multi_element.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0316-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_ali_light_multi_element_adv_ali_light_multi_element.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_ali_light_with_peripheral/adv_ali_light_with_peripheral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0317-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_ali_light_with_peripheral_adv_ali_light_with_peripheral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_proxy/adv_proxy.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0318-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_proxy_adv_proxy.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_vendor/adv_vendor.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0319-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_vendor_adv_vendor.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_vendor_friend/adv_vendor_friend.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0320-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_vendor_friend_adv_vendor_friend.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_vendor_low_power/adv_vendor_low_power.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0321-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_vendor_low_power_adv_vendor_low_power.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/adv_vendor_self_provision/adv_vendor_self_provision.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0322-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_adv_vendor_self_provision_adv_vendor_self_provision.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/provisioner_vendor/provisioner_vendor.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0323-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_provisioner_vendor_provisioner_vendor.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MESH/provisioner_vendor_with_peripheral/provisioner_vendor_with_peripheral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0324-QingkeV3C_CH587_EVT_EXAM_BLE_MESH_provisioner_vendor_with_peripheral_provisioner_vendor_with_peripheral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MultiCentPeri/MultiCentPeri.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0325-QingkeV3C_CH587_EVT_EXAM_BLE_MultiCentPeri_MultiCentPeri.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/MultiCentral/MultiCentral.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0326-QingkeV3C_CH587_EVT_EXAM_BLE_MultiCentral_MultiCentral.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/Observer/Observer.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0327-QingkeV3C_CH587_EVT_EXAM_BLE_Observer_Observer.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/OnlyUpdateApp_IAP/OnlyUpdateApp_IAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0328-QingkeV3C_CH587_EVT_EXAM_BLE_OnlyUpdateApp_IAP_OnlyUpdateApp_IAP.wvproj/logs
QingkeV3C_CH587_EVT/EXAM/BLE/OnlyUpdateApp_JumpIAP/OnlyUpdateApp_JumpIAP.wvproj	EXCLUDED-capability	opcode:mcpy	<EVT>/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/tmos.c:54: Error: unrecognized opcode `mcpy a2,a1,a0'	tmp/toolchain_8.2.0/full-census/projects/0329-QingkeV3C_CH587_EVT_EXAM_BLE_OnlyUpdateApp_JumpIAP_OnlyUpdateApp_JumpIAP.wvproj/logs
